"sensorId (S)","time (N)","isHotWater (BOOL)","name (S)","on (BOOL)","target (N)","temperature (N)"
"41223","1609700121977","true","Hot Water","false","62","64"
"41223","1609700260019","true","Hot Water","false","62","64"
"41223","1609700559884","true","Hot Water","false","62","64"
"41223","1609700859968","true","Hot Water","false","62","64"
"41223","1609701159782","true","Hot Water","false","62","64"
"41223","1609701459849","true","Hot Water","false","62","64"
"41223","1609701760334","true","Hot Water","false","62","64"
"41223","1609702059702","true","Hot Water","false","62","64"
"41223","1609702359781","true","Hot Water","false","62","64"
"41223","1609702659815","true","Hot Water","false","62","64"
"41223","1609702959897","true","Hot Water","false","62","64"
"41223","1609703260251","true","Hot Water","false","62","64"
"41223","1609703560134","true","Hot Water","false","62","64"
"41223","1609703860223","true","Hot Water","false","62","64"
"41223","1609704160031","true","Hot Water","false","62","64"
"41223","1609704459900","true","Hot Water","false","62","64"
"41223","1609704760385","true","Hot Water","false","62","64"
"41223","1609705060122","true","Hot Water","false","62","64"
"41223","1609705360051","true","Hot Water","false","62","64"
"41223","1609705659890","true","Hot Water","false","62","64"
"41223","1609705959909","true","Hot Water","false","62","64"
"41223","1609706259885","true","Hot Water","false","62","63.5"
"41223","1609706560625","true","Hot Water","false","62","63.5"
"41223","1609706859896","true","Hot Water","false","62","63.5"
"41223","1609707159862","true","Hot Water","false","62","63.5"
"41223","1609707459787","true","Hot Water","false","62","63.5"
"41223","1609707760001","true","Hot Water","false","62","63.5"
"41223","1609708060021","true","Hot Water","false","62","63.5"
"41223","1609708360029","true","Hot Water","false","62","63"
"41224","1609700121977","false","Downstairs","true","20.5","19.4"
"41224","1609700260019","false","Downstairs","true","20.5","19.4"
"41224","1609700559884","false","Downstairs","true","20.5","19.4"
"41224","1609700859968","false","Downstairs","true","20.5","19.6"
"41224","1609701159782","false","Downstairs","true","20.5","19.6"
"41224","1609701459849","false","Downstairs","true","20.5","19.6"
"41224","1609701760334","false","Downstairs","true","20.5","19.8"
"41224","1609702059702","false","Downstairs","true","20.5","19.8"
"41224","1609702359781","false","Downstairs","true","20.5","19.8"
"41224","1609702659815","false","Downstairs","true","20.5","20"
"41224","1609702959897","false","Downstairs","true","20.5","20"
"41224","1609703260251","false","Downstairs","true","20.5","20"
"41224","1609703560134","false","Downstairs","true","20.5","20"
"41224","1609703860223","false","Downstairs","true","20.5","20"
"41224","1609704160031","false","Downstairs","true","20.5","20"
"41224","1609704459900","false","Downstairs","true","20.5","20"
"41224","1609704760385","false","Downstairs","true","20.5","20"
"41224","1609705060122","false","Downstairs","true","20.5","20.2"
"41224","1609705360051","false","Downstairs","true","20.5","20.2"
"41224","1609705659890","false","Downstairs","true","20.5","20.2"
"41224","1609705959909","false","Downstairs","true","20.5","20.2"
"41224","1609706259885","false","Downstairs","true","20.5","20.4"
"41224","1609706560625","false","Downstairs","true","20.5","20.4"
"41224","1609706859896","false","Downstairs","true","20.5","20.4"
"41224","1609707159862","false","Downstairs","true","20.5","20.4"
"41224","1609707459787","false","Downstairs","true","20.5","20.4"
"41224","1609707760002","false","Downstairs","true","20.5","20.4"
"41224","1609708060021","false","Downstairs","true","20.5","20.4"
"41224","1609708360029","false","Downstairs","true","20.5","20.4"
"41225","1609700121977","false","Upstairs","true","20.5","16.2"
"41225","1609700260019","false","Upstairs","true","20.5","16.2"
"41225","1609700559884","false","Upstairs","true","20.5","16.2"
"41225","1609700859968","false","Upstairs","true","20.5","16.4"
"41225","1609701159782","false","Upstairs","true","20.5","16.4"
"41225","1609701459849","false","Upstairs","true","20.5","16.8"
"41225","1609701760334","false","Upstairs","true","20.5","16.8"
"41225","1609702059702","false","Upstairs","true","20.5","17"
"41225","1609702359781","false","Upstairs","true","20.5","17"
"41225","1609702659815","false","Upstairs","true","20.5","17"
"41225","1609702959897","false","Upstairs","true","20.5","17"
"41225","1609703260251","false","Upstairs","true","20.5","17.2"
"41225","1609703560134","false","Upstairs","true","20.5","17.2"
"41225","1609703860223","false","Upstairs","true","20.5","17.2"
"41225","1609704160031","false","Upstairs","true","20.5","17.2"
"41225","1609704459900","false","Upstairs","true","20.5","17.6"
"41225","1609704760385","false","Upstairs","true","20.5","17.6"
"41225","1609705060122","false","Upstairs","true","20.5","17.6"
"41225","1609705360051","false","Upstairs","true","20.5","17.8"
"41225","1609705659890","false","Upstairs","true","20.5","17.8"
"41225","1609705959909","false","Upstairs","true","20.5","17.8"
"41225","1609706259885","false","Upstairs","true","20.5","17.8"
"41225","1609706560625","false","Upstairs","true","20.5","18"
"41225","1609706859896","false","Upstairs","true","20.5","18"
"41225","1609707159862","false","Upstairs","true","20.5","18"
"41225","1609707459787","false","Upstairs","true","20.5","18"
"41225","1609707760002","false","Upstairs","true","20.5","18"
"41225","1609708060021","false","Upstairs","true","20.5","18"
"41225","1609708360029","false","Upstairs","true","20.5","18"
